13	-0.95	-0.24	0.21	2.95	1.49	-1.10	0.53	13.81	
574	-0.97	-0.28	0.15	-3.58	8.90	-0.24	0.54	14.05	
1111	-0.80	-0.03	0.53	-3.88	-14.89	8.91	0.54	14.15	
1642	-1.09	-0.09	0.05	38.35	-33.81	62.56	0.54	14.19	
2178	-0.81	-0.04	0.60	-4.93	-2.80	-6.41	0.53	13.67	
2710	-0.76	-0.35	0.76	-38.98	-26.61	-27.16	0.54	14.19	
3242	-0.57	-0.12	0.92	37.62	-25.05	23.50	0.55	13.91	
3776	-0.93	-0.32	0.36	7.35	-18.29	0.37	0.54	14.34	
4309	-0.75	-0.37	0.45	16.01	-0.25	2.81	0.53	14.15	
4840	-0.82	-0.31	0.51	15.10	-29.42	11.96	0.55	14.15	
5373	-0.11	0.41	0.54	-22.07	23.75	-25.76	0.54	14.24	
5908	0.08	0.00	1.02	-27.32	-29.55	25.27	0.54	14.05	
6441	-0.19	-0.17	0.95	14.73	-6.32	15.44	0.54	13.91	
6972	-0.06	-0.07	1.03	2.77	15.69	-0.30	0.54	14.24	
7505	-0.04	-0.03	0.97	0.57	-6.68	0.37	0.54	13.91	
8036	-0.03	-0.04	0.99	3.01	3.30	0.37	0.54	14.19	
8569	0.01	-0.02	0.97	2.77	-7.08	0.73	0.53	14.15	
9100	-0.09	-0.04	0.96	-1.01	0.37	0.37	0.55	14.19	
9633	-0.07	-0.04	1.00	0.57	-9.40	-0.18	0.54	14.19	
10164	-0.21	-0.06	0.94	1.48	-7.72	0.06	0.54	13.86	
10696	-0.05	-0.05	1.05	1.73	3.76	-0.30	0.54	13.91	
11232	-0.22	-0.06	0.97	-14.02	-47.62	-9.76	0.54	14.05	
11765	0.03	-0.05	0.97	-2.29	1.31	-0.67	0.54	14.43	
12296	0.02	-0.05	0.96	0.82	1.67	0.37	0.54	14.34	
12828	-0.01	-0.06	1.00	0.64	2.17	0.12	0.54	14.43	
13360	-0.01	-0.02	1.00	0.20	0.35	0.18	0.54	14.05	
13892	-0.11	0.02	0.96	-4.13	-11.78	-1.16	0.54	14.19	
14425	0.02	-0.01	0.97	-0.04	-1.70	-0.18	0.55	14.24	
14956	-0.02	-0.09	1.01	-0.40	-2.81	-0.67	0.54	14.15	
15489	-0.09	-0.13	1.10	1.55	-6.41	1.40	0.53	14.19	
16020	-0.02	-0.06	0.99	0.09	1.00	-0.06	0.57	14.39	
16557	0.06	-0.08	1.04	0.08	-10.62	-0.61	0.55	14.15	
17088	0.10	-0.09	1.03	0.26	2.54	0.86	0.54	13.91	
17621	-0.02	-0.06	1.01	0.51	0.25	0.00	0.53	14.24	
18152	-0.00	-0.06	0.98	0.70	0.68	-0.06	0.55	14.24	
18685	-0.01	-0.06	1.00	0.45	0.06	-0.12	0.57	14.19	
19217	-0.01	-0.06	1.00	0.02	0.54	-0.12	0.55	14.05	
19749	-0.02	-0.06	0.98	0.70	1.17	0.18	0.55	14.24	
20281	-0.03	-0.08	1.00	0.02	0.55	0.31	0.54	14.19	
20814	-0.03	-0.06	0.98	0.39	-0.48	-0.06	0.54	14.24	
21345	-0.02	-0.07	1.00	0.32	0.17	-0.18	0.54	14.00	
21882	0.00	-0.05	0.96	0.08	2.00	0.18	0.54	14.05	
22413	0.31	-0.06	0.85	-6.20	-11.55	-0.85	0.54	14.58	
22946	0.04	-0.07	0.97	0.08	2.14	0.37	0.54	14.19	
23477	-0.01	-0.07	1.00	0.09	0.25	-0.18	0.54	14.24	
24010	-0.02	-0.07	0.99	0.08	0.78	-0.12	0.54	14.00	
24541	-0.01	-0.07	1.00	0.26	0.04	0.12	0.54	14.00	
25073	-0.01	-0.07	1.01	0.33	0.41	-0.18	0.54	14.05	
25605	-0.02	-0.07	1.00	0.21	0.36	0.18	0.54	14.15	
26137	-0.01	-0.06	1.00	0.14	0.24	-0.12	0.54	14.15	
26669	-0.02	-0.06	0.98	0.02	0.55	-0.12	0.54	14.15	
27205	-0.01	-0.06	1.00	0.33	0.14	-0.06	0.54	14.34	
27737	-0.01	-0.07	1.00	0.64	0.27	0.18	0.54	14.43	
28269	-0.01	-0.06	1.00	0.20	0.10	0.18	0.54	14.00	
28801	-0.01	-0.06	1.00	0.57	0.44	0.12	0.54	14.24	
29333	-0.01	-0.06	1.00	0.57	0.37	-0.06	0.54	14.24	
29865	-0.00	-0.06	0.98	0.09	0.31	0.12	0.54	14.24	
30397	-0.02	-0.07	1.00	0.39	0.32	0.25	0.54	14.34	
30939	-0.01	-0.06	0.99	0.63	0.91	0.37	0.54	14.15	
31471	-0.03	-0.04	1.02	0.39	0.27	0.12	0.54	14.43	
32003	-0.01	-0.07	1.00	0.15	0.31	0.00	0.54	14.24	
32539	-0.01	-0.07	1.00	0.51	0.50	0.12	0.54	14.24	
33071	-0.01	-0.07	1.00	0.45	0.25	0.18	0.54	14.24	
33603	-0.02	-0.07	0.98	0.88	0.45	0.25	0.54	14.34	
34135	-0.01	-0.07	1.00	0.45	0.39	-0.12	0.54	14.39	
34667	-0.01	-0.07	1.00	0.45	0.55	0.06	0.54	14.19	
35199	-0.01	-0.07	1.00	0.33	0.24	-0.06	0.54	14.15	
35731	-0.02	-0.07	1.01	0.45	0.49	0.31	0.54	14.19	
36263	0.13	-0.22	1.15	7.53	15.16	-0.24	0.54	14.34	
36795	-0.02	-0.06	1.01	0.27	0.36	0.00	0.54	14.15	
37328	-0.02	-0.07	1.00	0.51	0.14	-0.06	0.54	14.34	
37863	-0.02	-0.06	1.00	0.02	0.35	0.18	0.54	14.05	
38395	-0.27	-0.14	0.97	1.18	-5.73	-1.71	0.54	14.19	
38927	-0.02	-0.06	0.99	0.33	0.13	0.18	0.54	14.19	
39460	-0.01	-0.06	1.00	0.27	0.02	0.18	0.54	14.39	
39991	-0.02	-0.06	0.99	0.09	-0.05	0.18	0.54	14.24	
40524	-0.01	-0.07	0.99	0.45	0.63	0.06	0.54	14.34	
41056	-0.02	-0.07	1.00	0.70	0.68	0.31	0.54	14.24	
41588	-0.03	-0.06	1.00	0.15	-0.17	-0.12	0.54	14.24	
42120	-0.01	-0.07	1.00	0.39	-0.06	0.12	0.54	14.15	
42656	0.01	0.00	0.93	0.88	2.26	0.12	0.54	14.19	
43188	-0.00	-0.07	0.99	0.33	0.37	0.06	0.54	14.24	
43719	-0.01	-0.07	1.01	0.39	0.44	-0.06	0.54	14.24	
44252	0.02	-0.07	1.01	-0.10	-0.47	-0.18	0.54	14.34	
44783	-0.02	-0.07	1.00	0.27	-0.46	0.00	0.54	14.43	
45316	-0.04	-0.06	1.01	-0.04	-0.54	-0.12	0.54	14.24	
45847	-0.01	-0.07	1.00	0.45	0.86	0.12	0.54	14.24	
46380	-0.01	-0.07	1.00	0.63	0.85	-0.18	0.54	14.15	
46911	-0.01	-0.07	1.01	0.51	0.06	0.00	0.54	14.15	
47444	-0.01	-0.07	0.99	0.39	0.55	0.18	0.54	14.15	
47979	-0.02	-0.07	1.00	0.21	0.51	-0.06	0.54	14.34	
